,Movie,Year,Runtime,IMDBRatings,Metascore Rating,Votes,US Gross
972,The Little Mermaid,1989,83,7.6,88,235862,111.54
973,The Naked Gun: From the Files of Police Squad!,1988,85,7.6,76,151430,78.76
974,"Planes, Trains & Automobiles",1987,93,7.6,72,123376,49.53
975,Lethal Weapon,1987,109,7.6,68,235318,65.21
976,The Fly,1986,96,7.6,79,158719,40.46
977,Indiana Jones and the Temple of Doom,1984,118,7.6,57,445766,179.87
978,Blood Simple,1984,99,7.6,82,86982,2.15
979,On Golden Pond,1981,109,7.6,68,27451,119.29
980,Mad Max 2,1981,96,7.6,77,165569,12.47
981,The Warriors,1979,92,7.6,65,93298,22.49
982,The Muppet Movie,1979,95,7.6,74,32527,76.66
983,Escape from Alcatraz,1979,112,7.6,76,120254,43.0
984,Watership Down,1978,91,7.6,64,33482,
985,Midnight Express,1978,121,7.6,59,73229,35.0
986,Close Encounters of the Third Kind,1977,138,7.6,90,183603,132.09
987,Robin Hood,1973,83,7.6,57,114835,32.06
988,The Long Goodbye,1973,112,7.6,87,25909,0.96
989,Giù la testa,1971,157,7.6,77,29903,0.7
990,Kelly's Heroes,1970,144,7.6,50,44992,1.38
991,The Jungle Book,1967,78,7.6,65,165096,141.84
992,Blowup,1966,111,7.6,82,56069,
993,A Hard Day's Night,1964,87,7.6,96,40040,13.78
994,Breakfast at Tiffany's,1961,115,7.6,76,165460,
995,Giant,1956,201,7.6,84,33841,
996,From Here to Eternity,1953,118,7.6,85,43089,30.5
997,Lifeboat,1944,97,7.6,78,26290,
998,Snow White and the Seven Dwarfs,1937,83,7.6,95,180235,184.93
999,The 39 Steps,1935,86,7.6,93,51460,
