,Movie,Year,Runtime,IMDBRatings,Metascore Rating,Votes,US Gross
287,Cool Hand Luke,1967,127,8.1,92,160637,16.22
288,Persona,1966,85,8.1,86,101827,
289,Andrei Rublev,1966,205,8.1,-1,46303,0.1
290,La battaglia di Algeri,1966,121,8.1,96,52505,0.06
291,El ángel exterminador,1962,95,8.1,-1,29460,
292,What Ever Happened to Baby Jane?,1962,134,8.1,75,49787,4.05
293,Sanjuro,1962,96,8.1,-1,32602,
294,The Man Who Shot Liberty Valance,1962,123,8.1,94,68304,
295,Ivanovo detstvo,1962,95,8.1,-1,31279,
296,Jungfrukällan,1960,89,8.1,-1,26506,1.53
297,Inherit the Wind,1960,128,8.1,75,27097,
298,Les quatre cents coups,1959,99,8.1,-1,104189,
299,Ben-Hur,1959,212,8.1,90,217930,74.7
300,Kakushi-toride no san-akunin,1958,139,8.1,-1,34324,
301,Sweet Smell of Success,1957,96,8.1,100,27867,
302,Le notti di Cabiria,1957,110,8.1,-1,42580,0.75
303,Kumonosu-jô,1957,110,8.1,-1,46184,
304,The Bridge on the River Kwai,1957,161,8.1,87,202063,44.91
305,On the Waterfront,1954,108,8.1,91,141027,9.6
306,Le salaire de la peur,1953,131,8.1,85,54125,
307,Ace in the Hole,1951,111,8.1,72,31311,3.97
308,White Heat,1949,114,8.1,-1,29561,
309,The Third Man,1949,104,8.1,97,157689,0.45
310,The Red Shoes,1948,135,8.1,-1,30639,10.9
311,The Shop Around the Corner,1940,99,8.1,96,27783,0.2
312,Rebecca,1940,130,8.1,86,122932,4.36
313,Mr. Smith Goes to Washington,1939,129,8.1,73,106198,9.6
314,Gone with the Wind,1939,238,8.1,97,288011,198.68
315,La Grande Illusion,1937,113,8.1,-1,33616,0.17
316,It Happened One Night,1934,105,8.1,87,93191,4.36
317,La passion de Jeanne d'Arc,1928,110,8.1,-1,47104,0.02
318,The Circus,1928,72,8.1,90,29775,
319,Sunrise: A Song of Two Humans,1927,94,8.1,-1,46654,0.54
320,The General,1926,67,8.1,-1,80412,1.03
321,Das Cabinet des Dr. Caligari,1920,76,8.1,-1,56976,
322,Manbiki kazoku,2018,121,8.0,93,60797,3.31
323,Badhaai ho,2018,124,8.0,-1,27450,
324,Marriage Story,2019,137,8.0,94,240510,2.0
325,Togo,2019,113,8.0,69,35304,
326,Airlift,2016,130,8.0,-1,52586,
327,Bajrangi Bhaijaan,2015,163,8.0,-1,71463,8.18
328,Baby,2015,159,8.0,-1,52524,
329,La La Land,2016,128,8.0,94,499255,151.1
330,Lion,2016,118,8.0,69,211545,51.74
331,The Martian,2015,144,8.0,80,753572,228.43
332,Zootopia,2016,108,8.0,78,429534,341.27
333,Bãhubali: The Beginning,2015,159,8.0,-1,101980,6.74
334,Kaguyahime no monogatari,2013,137,8.0,89,37984,1.51
335,Wonder,2017,113,8.0,66,139235,132.42
336,Gully Boy,2019,153,8.0,65,31200,5.57
337,Special Chabbis,2013,144,8.0,-1,50635,1.08
338,Short Term 12,2013,96,8.0,82,81150,1.01
339,Serbuan maut 2: Berandal,2014,150,8.0,71,113718,2.63
340,The Imitation Game,2014,114,8.0,73,679401,91.13
341,Guardians of the Galaxy,2014,121,8.0,76,1036314,333.18
342,Blade Runner 2049,2017,164,8.0,81,454911,92.05
343,Her,2013,126,8.0,90,535505,25.57
344,Bohemian Rhapsody,2018,134,8.0,49,444366,216.43
345,The Revenant,2015,156,8.0,76,698393,183.64
346,The Perks of Being a Wallflower,2012,103,8.0,67,458774,17.74
347,Tropa de Elite 2: O Inimigo Agora é Outro,2010,115,8.0,71,78908,0.1
348,The King's Speech,2010,118,8.0,88,635696,138.8
349,The Help,2011,146,8.0,62,425202,169.71
350,Deadpool,2016,108,8.0,65,896033,363.07
351,Darbareye Elly,2009,119,8.0,87,45129,0.11
352,Dev.D,2009,144,8.0,-1,28572,0.01
353,Yip Man,2008,106,8.0,59,210358,
354,My Name Is Khan,2010,165,8.0,50,97893,4.02
355,Nefes: Vatan Sagolsun,2009,128,8.0,-1,31649,
356,Slumdog Millionaire,2008,120,8.0,84,794569,141.32
357,Black Swan,2010,108,8.0,79,695101,106.95
358,The Avengers,2012,143,8.0,69,1253844,623.28
359,Persepolis,2007,96,8.0,90,88116,4.45
360,Dallas Buyers Club,2013,117,8.0,80,437663,27.3
361,The Pursuit of Happyness,2006,117,8.0,64,444992,163.57
362,Blood Diamond,2006,143,8.0,64,495999,57.37
363,The Bourne Ultimatum,2007,115,8.0,85,602406,227.47
364,Bin-jip,2004,88,8.0,72,50106,0.24
365,Sin City,2005,124,8.0,74,736870,74.1
366,Le scaphandre et le papillon,2007,112,8.0,92,102836,5.99
367,G.O.R.A.,2004,127,8.0,-1,56339,
368,Ratatouille,2007,111,8.0,96,635396,206.45
369,Casino Royale,2006,144,8.0,80,578670,167.45
370,Kill Bill: Vol. 2,2004,137,8.0,83,678892,66.21
371,Vozvrashchenie,2003,110,8.0,82,42057,0.5
372,Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,103,8.0,85,76992,2.38
373,Mar adentro,2004,126,8.0,74,77174,2.09
374,Cinderella Man,2005,144,8.0,69,175240,61.65
375,Kal Ho Naa Ho,2003,186,8.0,54,62960,1.79
376,Mou gaan dou,2002,101,8.0,75,117399,0.17
377,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.0,63,1010571,305.41
378,Big Fish,2003,125,8.0,58,413231,66.26
379,The Incredibles,2004,115,8.0,90,652072,261.44
380,Yeopgijeogin geunyeo,2001,137,8.0,-1,45200,
381,Dogville,2003,178,8.0,60,137050,1.53
382,Vizontele,2001,110,8.0,-1,33103,
383,Donnie Darko,2001,113,8.0,88,736250,1.48
384,Magnolia,1999,188,8.0,77,288061,22.46
385,Dancer in the Dark,2000,140,8.0,61,101585,4.18
386,The Straight Story,1999,112,8.0,86,81260,6.2
387,Pâfekuto burû,1997,81,8.0,-1,56948,0.78
388,Festen,1998,105,8.0,82,77567,1.65
389,Central do Brasil,1998,110,8.0,80,36145,5.6
390,The Iron Giant,1999,86,8.0,85,170888,23.16
391,Knockin' on Heaven's Door,1997,87,8.0,-1,27527,0.0
392,Sling Blade,1996,135,8.0,84,86476,24.48
393,Secrets & Lies,1996,136,8.0,91,37228,13.42
394,Twelve Monkeys,1995,129,8.0,74,574514,57.14
395,Kôkaku Kidôtai,1995,83,8.0,76,128056,0.52
396,The Nightmare Before Christmas,1993,76,8.0,82,297353,75.08
397,Groundhog Day,1993,101,8.0,72,575157,70.91
398,Bound by Honor,1993,180,8.0,47,28680,4.5
399,Scent of a Woman,1992,156,8.0,59,260827,63.9
400,Aladdin,1992,90,8.0,86,371572,217.35
401,JFK,1991,189,8.0,72,141096,70.41
402,Beauty and the Beast,1991,84,8.0,95,415103,218.97
403,Dances with Wolves,1990,181,8.0,72,238461,184.21
404,Do the Right Thing,1989,120,8.0,93,88510,27.55
405,Rain Man,1988,133,8.0,65,470244,178.8
406,Akira,1988,124,8.0,-1,163374,0.55
407,The Princess Bride,1987,98,8.0,77,391184,30.86
408,Der Himmel über Berlin,1987,128,8.0,79,64191,3.33
409,Au revoir les enfants,1987,104,8.0,88,30964,4.54
410,Tenkû no shiro Rapyuta,1986,125,8.0,78,148587,
411,The Terminator,1984,107,8.0,84,796165,38.4
412,Gandhi,1982,191,8.0,79,216909,52.77
413,Kagemusha,1980,180,8.0,84,31932,
414,Being There,1979,130,8.0,83,65160,30.18
415,Annie Hall,1977,93,8.0,92,250752,39.2
416,All the President's Men,1976,138,8.0,84,101862,70.6
417,Jaws,1975,124,8.0,87,541158,260.0
418,Dog Day Afternoon,1975,125,8.0,86,234171,50.0
419,Young Frankenstein,1974,106,8.0,80,142556,86.3
420,Papillon,1973,151,8.0,58,120992,53.27
421,The Exorcist,1973,122,8.0,81,360667,232.91
422,Sleuth,1972,138,8.0,-1,44550,4.08
423,The Last Picture Show,1971,118,8.0,93,42064,29.13
424,Fiddler on the Roof,1971,181,8.0,67,39106,80.5
425,Il conformista,1970,113,8.0,100,26822,0.54
426,Butch Cassidy and the Sundance Kid,1969,110,8.0,66,200980,102.31
427,Rosemary's Baby,1968,137,8.0,96,192287,
428,Planet of the Apes,1968,112,8.0,79,164553,33.4
429,The Graduate,1967,106,8.0,83,252403,104.95
430,Who's Afraid of Virginia Woolf?,1966,131,8.0,75,68637,
431,The Sound of Music,1965,172,8.0,63,201807,163.21
432,Doctor Zhivago,1965,197,8.0,69,69313,111.72
433,Per un pugno di dollari,1964,99,8.0,65,196627,14.5
434,8½,1963,138,8.0,91,108141,0.05
435,Vivre sa vie: Film en douze tableaux,1962,80,8.0,-1,27684,
436,The Hustler,1961,134,8.0,90,74746,8.28
437,La dolce vita,1960,174,8.0,95,65992,19.52
438,Rio Bravo,1959,141,8.0,93,55805,12.54
439,Anatomy of a Murder,1959,161,8.0,95,59434,11.9
440,Touch of Evil,1958,95,8.0,99,97988,2.24
441,Cat on a Hot Tin Roof,1958,108,8.0,84,44708,17.57
442,The Killing,1956,84,8.0,91,81131,
443,The Night of the Hunter,1955,92,8.0,99,81390,0.65
444,La Strada,1954,108,8.0,-1,57942,
445,Les diaboliques,1955,117,8.0,-1,61212,
446,Stalag 17,1953,120,8.0,84,50838,
447,Roman Holiday,1953,118,8.0,78,126504,
448,A Streetcar Named Desire,1951,122,8.0,97,98496,8.0
449,In a Lonely Place,1950,94,8.0,-1,26417,
450,Kind Hearts and Coronets,1949,106,8.0,-1,34248,
451,Rope,1948,80,8.0,73,128746,
452,Out of the Past,1947,97,8.0,-1,32508,
453,Brief Encounter,1945,86,8.0,92,35325,
454,Laura,1944,88,8.0,-1,42420,4.36
